product_id,product_brand,product_name,Price
1,Washington,Washington Berry Juice,2.85
2,Washington,Washington Mango Drink,0.74
3,Washington,Washington Strawberry Drink,0.83
4,Washington,Washington Cream Soda,3.64
5,Washington,Washington Diet Soda,2.19
6,Washington,Washington Cola,1.15
7,Washington,Washington Diet Cola,2.61
8,Washington,Washington Orange Juice,2.59
9,Washington,Washington Cranberry Juice,2.42
10,Washington,Washington Apple Juice,1.42
11,Washington,Washington Apple Drink,3.51
12,Jeffers,Jeffers Oatmeal,1.54
13,Jeffers,Jeffers Corn Puffs,2.65
14,Jeffers,Jeffers Wheat Puffs,1.93
15,Jeffers,Jeffers Grits,2.29
16,Blue Label,Blue Label Canned Beets,3.83
17,Blue Label,Blue Label Creamed Corn,2.99
18,Blue Label,Blue Label Canned String Beans,2.67
19,Blue Label,Blue Label Chicken Soup,3.19
20,Blue Label,Blue Label Canned Yams,2.78
21,Blue Label,Blue Label Vegetable Soup,2.33
22,Blue Label,Blue Label Canned Tomatos,2.29
23,Blue Label,Blue Label Noodle Soup,1.75
24,Blue Label,Blue Label Regular Ramen Soup,1.73
25,Blue Label,Blue Label Chicken Noodle Soup,1.55
26,Blue Label,Blue Label Turkey Noodle Soup,0.88
27,Blue Label,Blue Label Beef Soup,2.65
28,Blue Label,Blue Label Canned Peas,3.91
29,Blue Label,Blue Label Chicken Ramen Soup,1.78
30,Blue Label,Blue Label Canned Tuna in Water,1.41
31,Blue Label,Blue Label Canned Tuna in Oil,1.55
32,Blue Label,Blue Label Large Canned Shrimp,2.86
33,Blue Label,Blue Label Fancy Canned Anchovies,1.36
34,Blue Label,Blue Label Fancy Canned Clams,1.69
35,Blue Label,Blue Label Fancy Canned Oysters,2.21
36,Blue Label,Blue Label Fancy Canned Sardines,1.8
37,Blue Label,Blue Label Rice Soup,1.59
38,Green Ribbon,Green Ribbon Canned Mixed Fruit,1.31
39,Green Ribbon,Green Ribbon Canned Peaches,3.11
40,King,King Rosy Sunglasses,0.99
41,Queen,Queen Eyeglass Screwdriver,0.89
42,Queen,Queen City Map,2.82
